iter	Passed	Remaining
0	13	2752
1	25	2523
2	35	2353
3	46	2262
4	57	2249
5	68	2228
6	78	2154
7	87	2095
8	96	2041
9	105	2001
10	114	1971
11	123	1941
12	133	1922
13	142	1897
14	151	1873
15	161	1856
16	170	1837
17	180	1821
18	189	1804
19	198	1785
20	207	1769
21	216	1754
22	225	1738
23	235	1723
24	244	1712
25	254	1700
26	264	1692
27	273	1680
28	282	1668
29	292	1657
30	301	1642
31	310	1630
32	320	1619
33	329	1610
34	339	1600
35	349	1592
36	360	1586
37	370	1577
38	380	1569
39	389	1559
40	399	1549
41	409	1539
42	418	1528
43	428	1518
44	438	1510
45	448	1501
46	458	1491
47	467	1480
48	477	1470
49	487	1461
50	496	1451
51	506	1441
52	516	1433
53	526	1424
54	536	1414
55	545	1403
56	556	1395
57	566	1387
58	576	1377
59	586	1368
60	595	1357
61	606	1349
62	617	1343
63	628	1335
64	639	1327
65	649	1318
66	659	1308
67	669	1299
68	679	1290
69	689	1280
70	698	1269
71	709	1261
72	719	1251
73	729	1242
74	741	1235
75	752	1228
76	764	1220
77	774	1211
78	783	1200
79	792	1189
80	802	1178
81	812	1168
82	822	1159
83	832	1149
84	841	1138
85	851	1128
86	860	1118
87	870	1107
88	879	1097
89	889	1086
90	898	1076
91	908	1065
92	917	1055
93	926	1045
94	935	1034
95	944	1023
96	953	1012
97	962	1001
98	971	991
99	980	980
100	989	969
101	999	960
102	1011	952
103	1022	943
104	1031	933
105	1041	923
106	1051	913
107	1061	904
108	1071	894
109	1080	884
110	1089	873
111	1099	863
112	1110	855
113	1121	845
114	1130	835
115	1140	825
116	1150	815
117	1160	806
118	1170	796
119	1180	787
120	1190	777
121	1199	766
122	1209	757
123	1219	747
124	1229	737
125	1239	727
126	1248	717
127	1258	707
128	1268	697
129	1277	688
130	1287	677
131	1296	667
132	1306	658
133	1316	648
134	1326	638
135	1336	628
136	1346	619
137	1355	609
138	1365	599
139	1375	589
140	1385	579
141	1394	569
142	1404	559
143	1414	549
144	1423	540
145	1433	530
146	1442	520
147	1452	510
148	1461	500
149	1472	490
150	1481	480
151	1491	470
152	1500	461
153	1511	451
154	1521	441
155	1531	431
156	1541	422
157	1551	412
158	1560	402
159	1571	392
160	1580	382
161	1590	372
162	1600	363
163	1612	353
164	1623	344
165	1635	334
166	1645	325
167	1654	315
168	1664	305
169	1673	295
170	1683	285
171	1693	275
172	1704	265
173	1716	256
174	1729	247
175	1741	237
176	1754	227
177	1767	218
178	1779	208
179	1788	198
180	1798	188
181	1811	179
182	1825	169
183	1840	160
184	1856	150
185	1870	140
186	1881	130
187	1892	120
188	1902	110
189	1912	100
190	1922	90
191	1932	80
192	1941	70
193	1951	60
194	1960	50
195	1969	40
196	1979	30
197	1988	20
198	1998	10
199	2008	0
